[00:00:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:38:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:39:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:40:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:41:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:41:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:42:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:43:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:44:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:44:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:45:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:46:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:47:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:47:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:48:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:49:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:50:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:50:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:51:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:52:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:53:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:53:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:54:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:55:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:56:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:56:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:57:02] [Server thread/INFO]: [Server] [System] We take backup of this server soon. 10 seconds left.
[00:57:03] [Server thread/INFO]: Automatic saving is now disabled
[00:57:04] [Server thread/INFO]: Saving the game (this may take a moment!)
[00:57:04] [Server thread/INFO]: Saved the game
[00:57:16] [Server thread/INFO]: Automatic saving is now enabled
[00:57:17] [Server thread/INFO]: Unknown command
[00:57:17] [Server thread/INFO]: [System] We just finish to make backup. Please take a fun.<--[HERE]
[00:57:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:58:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:59:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[00:59:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:00:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:01:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:02:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:02:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:03:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:04:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:05:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:05:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:06:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:07:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:08:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:08:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:09:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:10:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:11:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:11:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:12:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:13:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:14:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:14:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:15:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:16:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:17:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:17:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:18:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:19:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:20:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:20:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:21:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:22:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:23:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:23:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:24:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:25:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:26:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:26:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:27:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:28:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:29:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:29:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:30:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:31:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:32:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:32:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:33:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:34:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:35:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:35:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:36:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:37:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:38:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:38:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:39:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:40:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:41:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:41:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:42:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:43:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:44:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:44:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:45:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:46:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:47:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:47:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:48:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:49:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:50:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:50:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:51:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:52:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:53:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:53:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:54:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:55:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:56:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:56:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:57:03] [Server thread/INFO]: [Server] [System] We take backup of this server soon. 10 seconds left.
[01:57:04] [Server thread/INFO]: Automatic saving is now disabled
[01:57:05] [Server thread/INFO]: Saving the game (this may take a moment!)
[01:57:05] [Server thread/INFO]: Saved the game
[01:57:18] [Server thread/INFO]: Automatic saving is now enabled
[01:57:19] [Server thread/INFO]: Unknown command
[01:57:19] [Server thread/INFO]: [System] We just finish to make backup. Please take a fun.<--[HERE]
[01:57:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:58:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:59:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[01:59:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:00:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:01:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:02:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:02:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:03:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:04:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:05:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:05:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:06:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:07:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:08:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:08:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:09:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:10:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:11:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:11:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:12:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:13:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:14:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:14:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:15:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:16:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:17:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:17:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:18:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:19:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:20:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:20:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:21:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:22:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:23:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:23:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:24:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:25:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:26:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:26:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:27:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:28:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:29:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:29:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:30:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:31:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:32:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:32:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:33:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:34:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:35:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:35:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:36:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:37:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:38:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:38:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:39:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:40:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:41:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:41:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:42:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:43:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:44:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:44:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:45:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:46:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:47:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:47:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:48:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:49:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:50:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:50:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:51:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:52:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:53:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:53:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:54:43] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:55:28] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:56:13] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:56:58] [Server thread/WARN]: The save is being accessed from another location, aborting
[02:57:02] [Server thread/INFO]: [Server] [System] We take backup of this server soon. 10 seconds left.
[02:57:03] [Server thread/INFO]: Automatic saving is now disabled
[02:57:04] [Server thread/INFO]: Saving the game (this may take a moment!)
[02:57:04] [Server thread/INFO]: Saved the game
